Lancio: 2020-03-17 23:26:36.956607
Iterazione: 94860 digits: 39371
Iterazione: 94909 digits: 39392
Iterazione: 94958 digits: 39411
Iterazione: 95007 digits: 39432
Iterazione: 95056 digits: 39451
Iterazione: 95105 digits: 39472
Iterazione: 95153 digits: 39493
Iterazione: 95201 digits: 39511
Iterazione: 95249 digits: 39532
Iterazione: 95297 digits: 39552
Iterazione: 95345 digits: 39570
Iterazione: 95393 digits: 39592
Iterazione: 95441 digits: 39609
Iterazione: 95489 digits: 39624
Iterazione: 95537 digits: 39646
Iterazione: 95585 digits: 39662
Iterazione: 95633 digits: 39683
Iterazione: 95681 digits: 39704
Iterazione: 95729 digits: 39726
Iterazione: 95777 digits: 39748
Iterazione: 95825 digits: 39767
Iterazione: 95873 digits: 39789
Iterazione: 95921 digits: 39810
Iterazione: 95969 digits: 39831
Iterazione: 96017 digits: 39849
Iterazione: 96065 digits: 39871
Iterazione: 96113 digits: 39892
Iterazione: 96160 digits: 39912
Iterazione: 96208 digits: 39933
Iterazione: 96255 digits: 39952
Iterazione: 96302 digits: 39971
Iterazione: 96349 digits: 39990
Iterazione: 96396 digits: 40010
Iterazione: 96443 digits: 40028
Iterazione: 96490 digits: 40049
Iterazione: 96537 digits: 40069
Iterazione: 96584 digits: 40087
Iterazione: 96631 digits: 40105
Iterazione: 96678 digits: 40125
Iterazione: 96725 digits: 40145
Iterazione: 96772 digits: 40161
Iterazione: 96819 digits: 40176
Iterazione: 96866 digits: 40194
Iterazione: 96913 digits: 40212
Iterazione: 96960 digits: 40233
Iterazione: 97007 digits: 40253
Iterazione: 97054 digits: 40273
Iterazione: 97101 digits: 40291
Iterazione: 97148 digits: 40310
Iterazione: 97195 digits: 40328
Iterazione: 97242 digits: 40346
Iterazione: 97288 digits: 40364
Iterazione: 97334 digits: 40380
Iterazione: 97380 digits: 40397
Iterazione: 97426 digits: 40415
Iterazione: 97472 digits: 40435
Iterazione: 97518 digits: 40455
Iterazione: 97564 digits: 40473
Iterazione: 97610 digits: 40494
Iterazione: 97656 digits: 40514
Iterazione: 97702 digits: 40532
Iterazione: 97748 digits: 40552
Iterazione: 97794 digits: 40572
Iterazione: 97840 digits: 40589
Iterazione: 97886 digits: 40608
Iterazione: 97932 digits: 40623
Iterazione: 97978 digits: 40643
Iterazione: 98024 digits: 40662
Iterazione: 98070 digits: 40682
Iterazione: 98116 digits: 40702
Iterazione: 98162 digits: 40722
Iterazione: 98208 digits: 40743
Iterazione: 98254 digits: 40763
Iterazione: 98300 digits: 40781
Iterazione: 98346 digits: 40799
Iterazione: 98391 digits: 40820
Iterazione: 98436 digits: 40838
Iterazione: 98481 digits: 40857
Iterazione: 98526 digits: 40877
Iterazione: 98571 digits: 40896
Iterazione: 98616 digits: 40914
Iterazione: 98661 digits: 40933
Iterazione: 98706 digits: 40953
Iterazione: 98751 digits: 40972
Iterazione: 98796 digits: 40987
Iterazione: 98841 digits: 41005
Iterazione: 98886 digits: 41023
Iterazione: 98931 digits: 41041
Iterazione: 98976 digits: 41061
Iterazione: 99021 digits: 41080
Iterazione: 99066 digits: 41101
Iterazione: 99111 digits: 41119
Iterazione: 99156 digits: 41139
Iterazione: 99201 digits: 41159
Iterazione: 99246 digits: 41178
Iterazione: 99291 digits: 41195
Iterazione: 99336 digits: 41214
Iterazione: 99381 digits: 41234
Iterazione: 99426 digits: 41253
Iterazione: 99471 digits: 41272
Iterazione: 99515 digits: 41291
Iterazione: 99559 digits: 41309
Iterazione: 99603 digits: 41326
Iterazione: 99647 digits: 41343
Iterazione: 99691 digits: 41360
Iterazione: 99735 digits: 41378
Iterazione: 99779 digits: 41396
Iterazione: 99823 digits: 41414
Iterazione: 99867 digits: 41433
Iterazione: 99911 digits: 41452
Iterazione: 99955 digits: 41470
Iterazione: 99999 digits: 41490
Iterazione: 100043 digits: 41505
Iterazione: 100087 digits: 41522
Iterazione: 100131 digits: 41542
Iterazione: 100175 digits: 41558
Iterazione: 100219 digits: 41574
Iterazione: 100263 digits: 41593
Iterazione: 100307 digits: 41612
Iterazione: 100351 digits: 41630
Iterazione: 100395 digits: 41649
Iterazione: 100439 digits: 41667
Iterazione: 100483 digits: 41688
Iterazione: 100527 digits: 41708
Iterazione: 100571 digits: 41727
Iterazione: 100615 digits: 41746
Iterazione: 100658 digits: 41764
Iterazione: 100701 digits: 41783
Iterazione: 100744 digits: 41803
Iterazione: 100787 digits: 41816
Iterazione: 100830 digits: 41833
Iterazione: 100873 digits: 41852
Iterazione: 100916 digits: 41871
Iterazione: 100959 digits: 41891
Iterazione: 101002 digits: 41911
Iterazione: 101045 digits: 41927
Iterazione: 101088 digits: 41944
Iterazione: 101131 digits: 41963
Iterazione: 101174 digits: 41982
Iterazione: 101217 digits: 42001
Iterazione: 101260 digits: 42019
Iterazione: 101303 digits: 42038
Iterazione: 101346 digits: 42056
Iterazione: 101389 digits: 42075
Iterazione: 101432 digits: 42093
Iterazione: 101475 digits: 42112
Iterazione: 101518 digits: 42129
Iterazione: 101561 digits: 42148
Iterazione: 101604 digits: 42167
Iterazione: 101647 digits: 42181
Iterazione: 101690 digits: 42200
Iterazione: 101733 digits: 42216
Iterazione: 101775 digits: 42234
Iterazione: 101817 digits: 42252
Iterazione: 101859 digits: 42267
Iterazione: 101901 digits: 42283
Iterazione: 101943 digits: 42299
Iterazione: 101985 digits: 42316
Iterazione: 102027 digits: 42335
Iterazione: 102069 digits: 42351
Iterazione: 102111 digits: 42368
Iterazione: 102153 digits: 42387
Iterazione: 102195 digits: 42405
Iterazione: 102237 digits: 42421
Iterazione: 102279 digits: 42436
